code	brand	displacement	applications	buying_focus
L95	GM / Chevrolet / Buick	1.4 L	0:Chevrolet Aveo;1:Chevrolet Lova	L95 is a China-market code in these applications. Do not substitute an overseas Aveo engine code without matching the hardware and part numbers.
L91	GM / Chevrolet / Buick	1.6 L	0:Chevrolet Lova	A Lova or Aveo model name alone is insufficient. Ask the seller to distinguish the 1.6-litre L91 from 1.4-litre L95 stock.
L34	GM / Chevrolet / Buick	2.0 L	0:Buick Regal I;1:Chevrolet Epica	The Epica catalogue groups L34 with T20SED. A shared application row establishes a purchasing lead, not automatic interchangeability.
LMU	GM / Chevrolet / Buick	1.2 L	0:Baojun Spark;1:Chevrolet Lova	Specify whether the LMU donor is a small passenger car or a van. Verify sump, mounting and accessory arrangements against the vehicle being repaired.
LCU	GM / Chevrolet / Buick	1.4 L	0:Chevrolet Aveo T300;1:Chevrolet Sail	LCU is documented in different Chevrolet platforms. Match the actual assembly and connectors instead of relying on a generic 1.4-litre description.
4G15S	Mitsubishi / China-built derivatives	1.5 L	0:BYD F3;2:BYD F3R	Retain the S suffix in a 4G15S enquiry. A short 4G15 advertisement can cover a different installation or specification.
4G18	Mitsubishi / China-built derivatives	1.6 L	0:BYD F3;7:Mitsubishi Lancer;8:Brilliance Junjie FRV	The 4G18 code is documented across several manufacturers. Compare the installed brackets, intake, sump and electrical interfaces for each donor.
4G63S4M	Mitsubishi / China-built derivatives	2.0 L	0:Chery Eastar;1:Chery Tiggo T11;3:GWM Hover H3	Use the complete S4M suffix. A generic 4G63 or turbo S4T offer must not be treated as a confirmed replacement.
4G64S4M	Mitsubishi / China-built derivatives	2.4 L	0:Chery Eastar;1:Chery Tiggo;3:Soueast Delica	Keep the complete 4G64S4M identity and the donor installation. A common engine family can still have different sump and accessory configurations.
4G69S4N	Mitsubishi / China-built derivatives	2.4 L	0:GWM Hover H3;1:GWM Haval H5	Compare the complete S4N suffix and vehicle application. A seller advertising only 4G69 has not yet established the required replacement version.
4G63	Mitsubishi / China-built derivatives	2.0 L	0:Soueast Delica;2:Soueast Freeca	This code covers documented van applications as well as other platforms. Do not use performance-car 4G63 specifications to judge a van engine package.
4G64	Mitsubishi / China-built derivatives	2.4 L	0:Soueast Soveran	A 4G64 assembly needs an installation-specific comparison. Retain any longer suffix on the donor and confirm the original valve-train and fuel-system version.
4G69	Mitsubishi / China-built derivatives	2.4 L	0:BYD M6;1:BYD S6;6:Mitsubishi Galant	Mitsubishi and China-built applications share this code label. Confirm the exact valvetrain controls, mounting points and supplied accessories before comparing prices.
4A91	Mitsubishi / China-built derivatives	1.5 L	0:Soueast V3	A 1.5-litre 4A91 quotation should not be merged with a 1.6-litre 4A92 offer. Confirm the donor vehicle, transmission and electronic interfaces.
4A92	Mitsubishi / China-built derivatives	1.6 L	0:Mitsubishi ASX	The documented ASX application is 1.6 litres. Reject an unverified 2.0-litre 4A92 description and request the engine stamping and vehicle specification.
4G93	Mitsubishi / China-built derivatives	1.8 L	0:Dongfeng Fengxing Future;1:Mitsubishi Pajero iO H66W	Do not merge all 4G93 fuel-system variants. Match the installed fuel equipment and electronics to the original vehicle.
6G72	Mitsubishi	3.0 L	0:Mitsubishi Pajero II;1:Mitsubishi Pajero II;2:Mitsubishi Pajero IV V93W	The catalogue distinguishes 24-valve Pajero applications. Other 6G72 variants require separate checking of cylinder heads, intake and installation.
JL4G18	Geely	1.8 L	0:Geely Emgrand EC7;2:Geely Vision;3:SMA Haijing	Keep JL4G18 separate from JLC-4G18 and turbo JLE-4G18TD offers. Similar lettering and shared model names do not prove a match.
JL4G15D	Geely	1.5 L	0:Geely Emgrand EC7;1:Geely Freedom Warship	The final D matters. Ask for the stamping when an offer uses only 4G15 or a different Geely prefix.
MR479QA	Geely	1.5 L	0:Geely Kingkong;1:Geely Merrie	The catalogue groups MR479QA with another code in one application. Use donor identification and part numbers to resolve the actual engine rather than assuming equivalence.
JLE-4G18TD	Geely	1.8 L	0:Geely Borui;1:Geely Boyue	Retain the complete TD ending. TDB and TDC suffixes in other offers require a separate comparison of the engine and its control equipment.
JLB-4G13T	Geely	1.3 L	0:Geely Emgrand RS;1:Geely Emgrand	Separate this 1.3 turbo code from the 1.5-litre engines offered in related Emgrand models. Confirm the turbo and fuel equipment included in the quote.
JLY-4G15	Geely	1.5 L	0:Geely Emgrand RS;1:Geely Vision S1	Read the JLY prefix from the actual stamping. Do not silently convert a handwritten or Greek-letter Geely code into JLY-4G15.
SQR372	Chery	0.8 L	0:Chery QQ3	QQ3 was sold with more than one engine size. Confirm SQR372 directly instead of ordering a generic QQ engine.
SQR472	Chery	1.1 L	0:Chery QQ3;1:Chery QQ6	The 1.1-litre SQR472 is not established by a bare SQR description. Keep CAC-SQR472FB and other longer codes separate until verified.
SQR473F	Chery	1.3 L	0:Chery QQ6;1:Chery QQ Me	Confirm the full SQR473F code and the donor vehicle. A QQ, J1 or export badge needs market-specific checking before inclusion in a purchase order.
SQR477F	Chery	1.5 L	0:Chery A5;1:Chery Fulwin 2;2:Chery Qiyun	This code has several China-market applications. Match the donor components to the recipient rather than treating every Chery 1.5 as the same engine.
SQR481F	Chery	1.6 L	0:Chery A5;1:Chery Tiggo	The final F distinguishes this documented 1.6-litre engine from the 1.8-litre SQR481FC. Require a readable suffix in every quotation.
SQR481FC	Chery	1.8 L	0:Chery A5	Retain both letters FC. A quotation shortened to SQR481 can conceal the wrong displacement and application.
SQR484F	Chery	2.0 L	0:Chery A5;1:Chery Tiggo;2:Chery Tiggo 5	Keep this code separate from later turbocharged Tiggo engines. The model name Tiggo alone cannot establish the original powertrain.
SQRE4G15B	Chery	1.5 L	0:Chery Arrizo 5	Do not confuse E4G15B with E4T15B. Obtain the complete stamping and establish the original induction system before ordering.
JL465Q5	Changan	1.0 L	1:Changan SC;3:Changan Star	Use the complete Q5 suffix and the documented 1.0-litre application. Broad minivan listings may combine several engines under one advertisement.
JL474Q	Changan	1.3 L	0:Changan SC;2:Changan Star	These selected records describe 1.3-litre applications. Conflicting shortened catalogue entries should be resolved from the vehicle and engine plates.
JL475Q7	Changan	1.5 L	0:Changan Yuexiang	Retain the Q7 suffix and the recipient vehicle details. Other JL475 variants must be checked independently.
CAF479Q1	Ford	1.5 L	0:Ford Escort	Escort is used for different generations and markets. This article covers the documented China-market CAF479Q1 application, not every global Escort engine.
CAF384Q0	Ford	1.5 L	0:Ford EcoSport	The trailing zero is part of the code. A supply listing abbreviated to CAF384Q needs a stamping photo before it can be matched to CAF384Q0.
CAF488WQ3	Ford	2.0 L	0:Ford Mondeo III	EcoBoost is a product name, not a complete engine code. Preserve WQ3 and check the original Mondeo configuration and supplied turbo equipment.
LF-DE	Mazda / Ford	2.0 L	1:Ford Mondeo I;2:Ford Mondeo II Zhisheng;3:Mazda3	Mazda and Ford applications need installation-specific comparison. Do not merge LF-DE, LF-VE and an advertisement saying only LF.
ZY-VE	Mazda	1.5 L	0:Mazda2	A Mazda2 badge does not distinguish its 1.3- and 1.5-litre engines. Confirm ZY-VE and do not automatically extend the fitment to Ford variants.
TU5JP4	Peugeot / Citroen	1.6 L	1:Citroen C2;2:Citroen Elysee;3:Citroen Fukang	Check the full technical designation and emissions version. Shared PSA terminology does not establish that every 1.6-litre Peugeot or Citroen assembly interchanges.
NFP	Peugeot / Citroen	1.6 L	0:Citroen C3-XR;1:Citroen C4-Quatre;2:Citroen Elysee	NFP should be identified separately from older NFU and TU5 listings. Confirm the fuel system, control equipment and original vehicle specification.
RFN	Peugeot / Citroen	2.0 L	0:Citroen Xsara Picasso;1:Citroen C5;2:Citroen C-Quatre	RFN is not globally unique across manufacturers. This guide concerns PSA petrol applications; a matching short code on another manufacturer's engine is not sufficient.
BWH	Volkswagen / Audi / Skoda	1.6 L	0:FAW Besturn B50;1:Volkswagen Bora;2:Volkswagen Sagitar	BWH is documented in FAW and Volkswagen applications. Compare installation hardware and electronics, and do not equate it with every EA111 engine.
CEA	Volkswagen / Audi / Skoda	1.8 L	0:Skoda Superb;2:Volkswagen Passat B7;3:Volkswagen Tiguan	EA888 alone is insufficient. Preserve CEA, the original vehicle generation and all additional characters shown on the stamping or parts documentation.
CFB	Volkswagen / Audi / Skoda	1.4 L	0:Skoda Octavia;1:Skoda Superb	A China-market CFB quotation should not be relabelled as CAXA solely because both are advertised as 1.4 TSI. Compare the complete identification and equipment.
CGM	Volkswagen / Audi / Skoda	2.0 L	1:Skoda Octavia RS	Keep CGM distinct from similarly named Volkswagen 2.0 turbo engines. The donor generation and original vehicle specification are necessary for a replacement decision.
CPDA	Volkswagen / Audi / Skoda	1.6 L	0:Skoda Rapid;1:Volkswagen Sagitar	Use CPDA rather than EA211 alone in the enquiry. A family name covers more engines than the specific 1.6-litre application documented here.
CSSA	Volkswagen / Audi / Skoda	1.4 L	1:Skoda Karoq;3:Skoda Yeti;4:Volkswagen Bora MQB	CSSA appears in several China-market platforms. A 280 TSI badge is not a substitute for the complete code and vehicle identification.
DCFA	Volkswagen / Audi / Skoda	1.5 L	0:Volkswagen Bora;1:Volkswagen C-Trek	A 1.5-litre DCFA engine must be separated from 1.6-litre CPDA offers. Match the original engine code before comparing an apparently similar assembly.
BSE	Volkswagen / Audi / Skoda	1.6 L	0:Volkswagen Golf V / Golf Plus;1:Volkswagen Golf VI / Golf Plus	The catalogue groups BSE with other codes. It does not prove that every listed code is interchangeable or that China has regular domestic donor supply.
CDAA	Volkswagen / Audi / Skoda	1.8 L	1:Audi TT	This is a specific imported-vehicle application in the China catalogue. Confirm actual sourcing and do not substitute the local-market CEA code without a full comparison.
15E4E	MG / Roewe	1.5 L	0:MG6;1:MG GS;4:Roewe RX5	MG6 and RX5 were sold with different engines over time. Keep 15E4E distinct from naturally aspirated 15S-series and 2.0-litre quotations.
18K4G	MG / Roewe	1.8 L	0:MG6;1:Roewe 550;2:Roewe 750	Retain the full 18K4G code. An MG or Roewe 1.8 description can also refer to other engine designations that need separate matching.
18L4E	MG / Roewe	1.8 L	0:Roewe 950	The L4E and K4G designations must not be merged because they share a nominal 1.8-litre size. Confirm the exact engine and supporting equipment.
20L4E	MG / Roewe	2.0 L	0:MG GS;1:Roewe 950;2:Roewe RX5	This code spans more than one SAIC model. Check the complete donor specification, turbo equipment and installation before purchasing a bare or complete engine.
G13B	Suzuki / Changan	1.3 L	0:Changan Benben Love;1:Suzuki Gazelle;3:Suzuki Swift	Do not use a G13B label to assume one cylinder-head or installation variant. Match the documented China-market vehicle and retain any additional identifiers.
M18A	Suzuki	1.8 L	0:Suzuki SX4	The SX4 model name also appears with smaller engines. Check M18A explicitly rather than ordering by the badge alone.
F10A	Suzuki	1.0 L	0:Suzuki Wagon R Beidouxing	F10A and K10A appear in the same model range. Their similar displacement does not establish interchangeable complete engines.
K10A	Suzuki	1.0 L	0:Suzuki Wagon R Beidouxing	Keep K10A separate from F10A and K10B. Require the complete code and recipient installation details for a replacement quotation.
G4FA	Hyundai / Kia	1.4 L	0:Hyundai Verna;1:Hyundai Verna;3:Kia K2	Distinguish the 1.4-litre G4FA from 1.6-litre G4FC offers, even when both vehicles are sold under the Rio or Accent name.
G4KC	Hyundai / Kia	2.4 L	0:Hyundai Sonata NF	Sonata NF has multiple engine choices. Keep G4KC separate from G4KE and other 2.4-litre assemblies unless the exact replacement is confirmed.
G4EE	Hyundai / Kia	1.4 L	0:Hyundai Accent;1:Kia Rio	An Accent or Rio badge can cover both G4EE and later engine codes. Use the original engine identity and generation in the enquiry.
G4NB	Hyundai / Kia	1.8 L	0:Hyundai Mistra;1:Kia K4	Do not accept G4NA solely as a similar-looking substitute: these selected G4NB applications are 1.8 litres. Match the original control and installation equipment.
G4FD	Hyundai / Kia	1.6 L	0:Hyundai Lingdong;1:Hyundai Lingdong	A 1.6-litre Hyundai quotation requires the complete G4FD code and a fuel-system check. Do not group it with G4FC or turbo G4FJ solely by displacement.
G4FJ	Hyundai / Kia	1.6 L	0:Hyundai Encino;1:Hyundai ix25;4:Kia K4	For this turbo application, identify whether the quoted assembly includes the turbocharger and fuel equipment. Compare those parts with the original vehicle.
QR20DE	Nissan	2.0 L	0:Nissan X-Trail T30;1:Nissan Teana J31	Keep QR20DE separate from QR25DE and MR20DE. A 2.0-litre Nissan description does not establish the required engine family or installation.
MR18DE	Nissan	1.8 L	0:Nissan Geniss;1:Nissan Livina	The documented 1.8-litre Geniss and Livina applications need their own identification. Do not infer HR16DE fitment from a shared Livina badge.
VQ35DE	Nissan / Infiniti	3.5 L	8:Nissan Murano;9:Nissan Teana J31;10:Nissan Teana J32	A transverse Teana or Murano donor needs a different installation comparison from a sports-car enquiry. Keep VQ35DE separate from VQ35HR.
KA24DE	Nissan	2.4 L	0:Nissan Paladin	Retain the DE suffix and match the Paladin installation. A bare KA24 listing does not establish the correct complete engine and accessories.
3RZ-FE	Toyota	2.7 L	0:Toyota Land Cruiser Prado J9	Separate 3RZ-FE from later 2TR-FE offers. China sourcing must be checked per unit rather than inferred from the Prado model name.
2GR-FE	Toyota / Lexus	3.5 L	5:Toyota Highlander;6:Toyota Highlander	Record the specific Highlander generation and engine package. Do not treat FSE, FKS or FXE suffixes as equivalent to 2GR-FE.
2AR-FE	Toyota	2.5 L	0:Toyota Camry XV50	A 2.5-litre China-market Camry may carry a different code. Do not silently substitute 5AR-FE for 2AR-FE when responding to an overseas buyer.
1MZ-FE	Toyota / Lexus	3.0 L	0:Lexus RX300 MCU15;1:Lexus RX300 MCU3;2:Toyota Camry XV30	Record whether the original 1MZ-FE installation uses VVT-i and match the complete intake and control equipment. A generic 3.0 V6 label is inadequate.
2ZR-FXE	Toyota / Lexus	1.8 L	0:Lexus CT200h ZWA10	This is the petrol combustion engine in a hybrid application. The quotation must distinguish the engine from the motor, inverter and hybrid transmission.
K20A7	Honda	2.0 L	0:Honda Accord;1:Honda Accord	The A7 suffix is required. Other K20A variants and a generic Honda 2.0 listing cannot establish the correct replacement for this application.
N52B30A	BMW	3.0 L	0:BMW X5 E70	The catalogue groups N52B30A with another suffix. Match the actual stamping, donor chassis and electronics instead of treating all N52 3.0 engines alike.
M271.820	Mercedes-Benz	1.8 L	0:Mercedes-Benz C180 CGI W204;1:Mercedes-Benz C200 CGI W204	Use the full numeric suffix. CGI and other M271 applications require separate identification; a family-only quote is not sufficient.
M272.967	Mercedes-Benz	3.5 L	0:Mercedes-Benz R350 W251	The .967 suffix identifies a documented R-Class application. A seller offering a generic M272 V6 still needs to prove installation compatibility.
M274.920	Mercedes-Benz	2.0 L	0:Mercedes-Benz C200 W205;1:Mercedes-Benz C300 W205	Both the full suffix and vehicle specification matter. C200 and C300 catalogue entries do not establish identical calibration or complete package contents.
