Campaign,Ad group,Keyword,Match type,Final URL,Priority,Intent note
GH_Search_Engines_HighIntent,Hyundai Kia Sedan Engine,"kia rio engine ghana",Phrase,https://asia-power.com/ghana.html,A,Model-language query
GH_Search_Engines_HighIntent,Hyundai Kia Sedan Engine,"g4fc engine ghana",Phrase,https://asia-power.com/engines/g4fc.html,A,Code query
GH_Search_Engines_HighIntent,Nissan Engine,"nissan tiida engine ghana",Phrase,https://asia-power.com/ghana.html,A,Model-language query
GH_Search_Engines_HighIntent,Nissan Engine,"nissan x trail engine ghana",Phrase,https://asia-power.com/ghana.html,A,Model-language query
GH_Search_Engines_HighIntent,Nissan Engine,"nissan qashqai engine ghana",Phrase,https://asia-power.com/ghana.html,A,Model-language query
GH_Search_Engines_HighIntent,Nissan Engine,"hr16de engine ghana",Phrase,https://asia-power.com/engines/hr16de.html,A,Code query
GH_Search_Engines_HighIntent,Nissan Engine,"qr25de engine ghana",Phrase,https://asia-power.com/engines/qr25de.html,A,Code query
GH_Search_Engines_HighIntent,Honda Engine,"honda crv engine ghana",Phrase,https://asia-power.com/ghana.html,A,Model-language query
GH_Search_Engines_HighIntent,Honda Engine,"honda accord engine ghana",Phrase,https://asia-power.com/ghana.html,A,Model-language query
GH_Search_Engines_HighIntent,Honda Engine,"k24 engine ghana",Phrase,https://asia-power.com/engines/k24a.html,A,Code query
GH_Search_Gearboxes_HighIntent,Corolla Gearbox,"corolla gearbox ghana",Phrase,https://asia-power.com/gearboxes/,S,Transactional gearbox query
GH_Search_Gearboxes_HighIntent,Corolla Gearbox,"corolla 2009 gearbox",Phrase,https://asia-power.com/gearboxes/,S,Customer-language gearbox query
GH_Search_Gearboxes_HighIntent,Corolla Gearbox,"corolla 2010 gearbox",Phrase,https://asia-power.com/gearboxes/,S,Customer-language gearbox query
GH_Search_Gearboxes_HighIntent,Corolla Gearbox,"toyota corolla gearbox accra",Phrase,https://asia-power.com/gearboxes/,A,Accra intent
GH_Search_Gearboxes_HighIntent,Camry Gearbox,"camry gearbox ghana",Phrase,https://asia-power.com/gearboxes/,S,Transactional gearbox query
GH_Search_Gearboxes_HighIntent,Camry Gearbox,"toyota camry gearbox accra",Phrase,https://asia-power.com/gearboxes/,A,Accra intent
GH_Search_Gearboxes_HighIntent,Hyundai Kia Gearbox,"hyundai ix35 gearbox ghana",Phrase,https://asia-power.com/gearboxes/,A,Model gearbox query
GH_Search_Gearboxes_HighIntent,Hyundai Kia Gearbox,"kia sportage gearbox ghana",Phrase,https://asia-power.com/gearboxes/,A,Model gearbox query
GH_Search_HalfCuts_Import,Half Cut Ghana,"half cut cars ghana",Phrase,https://asia-power.com/half-cuts/,S,Category buyer
GH_Search_HalfCuts_Import,Half Cut Ghana,"half cut car parts ghana",Phrase,https://asia-power.com/half-cuts/,S,Category buyer
GH_Search_HalfCuts_Import,Half Cut Ghana,"front cut cars ghana",Phrase,https://asia-power.com/half-cuts/,A,Local category variant
GH_Search_HalfCuts_Import,Half Cut Ghana,"nose cut cars ghana",Phrase,https://asia-power.com/half-cuts/,A,Local category variant
GH_Search_HalfCuts_Import,Half Cut Ghana,"half cut supplier ghana",Phrase,https://asia-power.com/half-cuts/,A,Supplier intent
GH_Search_Import_FromChina,China To Ghana Auto Parts,"auto parts from china to ghana",Phrase,https://asia-power.com/ghana.html,A,Service proposition
GH_Search_Import_FromChina,China To Ghana Auto Parts,"import car parts from china to ghana",Phrase,https://asia-power.com/ghana.html,A,Import intent
GH_Search_Import_FromChina,China To Ghana Auto Parts,"used engines from china to ghana",Phrase,https://asia-power.com/ghana.html,S,Matches business model
GH_Search_Import_FromChina,China To Ghana Auto Parts,"used car parts from china to ghana",Phrase,https://asia-power.com/ghana.html,A,Service proposition
GH_Search_Import_FromChina,China To Ghana Auto Parts,"engine importers in ghana",Phrase,https://asia-power.com/ghana.html,A,Buyer/importer intent
